ts_unix_ms,ts_dt_utc,symbol,n_trades_1s,sum_qty_1s,vwap_1s,buy_qty_1s,sell_qty_1s,buy_notional_1s,sell_notional_1s
1771365780597,2026-02-17 22:03:00.597000,XRPUSDT,1,91.7,1.4838,91.7,0.0,136.06446,0.0
1771365781605,2026-02-17 22:03:01.605000,BTCUSDT,1,0.021,67626.4,0.0,0.021,0.0,1420.1544
1771365781605,2026-02-17 22:03:01.605000,ETHUSDT,2,1.1429999999999998,1998.6000000000001,0.009,1.134,17.987399999999997,2266.4123999999997
1771365781605,2026-02-17 22:03:01.605000,SOLUSDT,1,7.59,85.21,0.0,7.59,0.0,646.7438999999999
1771365781605,2026-02-17 22:03:01.605000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365781605,2026-02-17 22:03:01.605000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365782616,2026-02-17 22:03:02.616000,BTCUSDT,1,0.026,67623.7,0.026,0.0,1758.2161999999998,0.0
1771365782616,2026-02-17 22:03:02.616000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365782616,2026-02-17 22:03:02.616000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365782616,2026-02-17 22:03:02.616000,BNBUSDT,1,0.27,618.6,0.0,0.27,0.0,167.02200000000002
1771365782616,2026-02-17 22:03:02.616000,XRPUSDT,1,146.6,1.4835,0.0,146.6,0.0,217.4811
1771365783625,2026-02-17 22:03:03.625000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365783625,2026-02-17 22:03:03.625000,ETHUSDT,1,2.086,1998.5999999999997,2.086,0.0,4169.079599999999,0.0
1771365783625,2026-02-17 22:03:03.625000,SOLUSDT,1,13.35,85.21000000000001,0.0,13.35,0.0,1137.5535
1771365783625,2026-02-17 22:03:03.625000,BNBUSDT,1,0.27,618.6,0.0,0.27,0.0,167.02200000000002
1771365783625,2026-02-17 22:03:03.625000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365784633,2026-02-17 22:03:04.633000,BTCUSDT,1,0.033,67627.2,0.0,0.033,0.0,2231.6976
1771365784633,2026-02-17 22:03:04.633000,ETHUSDT,1,0.194,1998.7,0.194,0.0,387.74780000000004,0.0
1771365784633,2026-02-17 22:03:04.633000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365784633,2026-02-17 22:03:04.633000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365784633,2026-02-17 22:03:04.633000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365785644,2026-02-17 22:03:05.644000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365785644,2026-02-17 22:03:05.644000,ETHUSDT,1,1.007,1998.9,0.0,1.007,0.0,2012.8923
1771365785644,2026-02-17 22:03:05.644000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365785644,2026-02-17 22:03:05.644000,BNBUSDT,1,0.49,618.6,0.0,0.49,0.0,303.11400000000003
1771365785644,2026-02-17 22:03:05.644000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365786653,2026-02-17 22:03:06.653000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365786653,2026-02-17 22:03:06.653000,ETHUSDT,1,1.007,1998.9,0.0,1.007,0.0,2012.8923
1771365786653,2026-02-17 22:03:06.653000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365786653,2026-02-17 22:03:06.653000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
