ts_unix_ms,ts_dt_utc,symbol,k1_start_ms,k1_close_ms,k1_open,k1_high,k1_low,k1_close,k1_base_vol,k1_quote_vol,k1_trades,k1_closed
1771369411661,2026-02-17 23:03:31.661000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.7,36.031,71787.835,21,False
1771369411661,2026-02-17 23:03:31.661000,SOLUSDT,1771369380000,1771369439999,84.89,84.9,84.89,84.9,105.91,8991.0019,13,False
1771369411661,2026-02-17 23:03:31.661000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,3.75,2314.231,9,False
1771369411661,2026-02-17 23:03:31.661000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,644.8,949.75816,9,False
1771369412676,2026-02-17 23:03:32.676000,BTCUSDT,1771369380000,1771369439999,67444.2,67481.8,67444.2,67481.7,1.424,96062.5866,27,False
1771369412676,2026-02-17 23:03:32.676000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.7,38.367,76442.7822,22,False
1771369412676,2026-02-17 23:03:32.676000,SOLUSDT,1771369380000,1771369439999,84.89,84.9,84.89,84.9,105.91,8991.0019,13,False
1771369412676,2026-02-17 23:03:32.676000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,3.75,2314.231,9,False
1771369412676,2026-02-17 23:03:32.676000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,668.7,984.96764,10,False
1771369413693,2026-02-17 23:03:33.693000,BTCUSDT,1771369380000,1771369439999,67444.2,67481.8,67444.2,67481.7,1.424,96062.5866,27,False
1771369413693,2026-02-17 23:03:33.693000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.7,38.367,76442.7822,22,False
1771369413693,2026-02-17 23:03:33.693000,SOLUSDT,1771369380000,1771369439999,84.89,84.9,84.89,84.9,105.91,8991.0019,13,False
1771369413693,2026-02-17 23:03:33.693000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,4.0,2468.531,10,False
1771369413693,2026-02-17 23:03:33.693000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,744.1,1096.04692,11,False
1771369414707,2026-02-17 23:03:34.707000,BTCUSDT,1771369380000,1771369439999,67444.2,67481.8,67444.2,67481.7,1.491,100583.8605,28,False
1771369414707,2026-02-17 23:03:34.707000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.7,38.367,76442.7822,22,False
1771369414707,2026-02-17 23:03:34.707000,SOLUSDT,1771369380000,1771369439999,84.89,84.9,84.89,84.9,117.94,10012.3489,14,False
