ts_unix_ms,ts_dt_utc,symbol,bid1_px,bid2_px,bid3_px,bid4_px,bid5_px,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,ask1_px,ask2_px,ask3_px,ask4_px,ask5_px,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,obi5
1771368466535,2026-02-17 22:47:46.535000,SOLUSDT,85.23,85.22,85.21,85.2,85.19,240.02,3164.56,3999.62,2880.06,3145.53,85.24,85.25,85.26,85.27,85.28,4706.59,3539.96,3335.13,3874.07,4790.44,-0.20241133294413402
1771368466535,2026-02-17 22:47:46.535000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,85.11,341.01,357.63,268.85,154.42,619.1,619.2,619.3,619.4,619.5,24.92,329.04,303.35,289.05,283.45,-0.009352314277155235
1771368466535,2026-02-17 22:47:46.535000,XRPUSDT,1.478,1.4779,1.4778,1.4777,1.4776,9470.8,41128.2,62865.4,56001.7,22713.6,1.4781,1.4782,1.4783,1.4784,1.4785,40032.3,42376.9,39098.9,54393.4,35429.2,-0.0474609824182971
1771368467547,2026-02-17 22:47:47.547000,BTCUSDT,67589.9,67589.8,67589.7,67588.4,67586.5,0.23,0.009,0.019,0.029,0.147,67590.0,67590.1,67590.2,67590.9,67591.7,3.945,0.009,0.009,0.041,0.148,-0.8107283035324901
1771368467547,2026-02-17 22:47:47.547000,ETHUSDT,1999.5,1999.4,1999.3,1999.2,1999.1,70.723,0.244,176.816,117.147,169.532,1999.6,1999.7,1999.8,1999.9,2000.0,1.796,3.885,68.74,166.843,84.883,0.24205533523353812
1771368467547,2026-02-17 22:47:47.547000,SOLUSDT,85.23,85.22,85.21,85.2,85.19,252.98,3164.56,3999.62,2867.1,3145.53,85.24,85.25,85.26,85.27,85.28,4706.59,3539.96,3335.13,3874.07,4790.44,-0.20241133294413402
1771368467547,2026-02-17 22:47:47.547000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,85.11,341.01,357.63,268.85,154.42,619.1,619.2,619.3,619.4,619.5,24.92,329.04,303.35,289.05,283.45,-0.009352314277155235
1771368467547,2026-02-17 22:47:47.547000,XRPUSDT,1.478,1.4779,1.4778,1.4777,1.4776,9470.8,41128.2,62865.4,56001.7,22713.6,1.4781,1.4782,1.4783,1.4784,1.4785,40032.3,42376.9,39098.9,54393.4,35429.2,-0.0474609824182971
1771368468559,2026-02-17 22:47:48.559000,BTCUSDT,67589.9,67589.8,67589.7,67586.5,67586.3,0.233,0.009,0.019,0.147,0.786,67590.0,67590.9,67591.7,67593.1,67593.2,3.727,0.041,0.148,0.009,0.002,-0.5336848271821909
1771368468559,2026-02-17 22:47:48.559000,ETHUSDT,1999.5,1999.3,1999.2,1999.1,1999.0,108.237,139.303,117.147,169.532,159.377,1999.6,1999.7,1999.8,1999.9,2000.0,1.27,3.885,68.74,166.843,84.883,0.36103695287657095
1771368468559,2026-02-17 22:47:48.559000,SOLUSDT,85.23,85.22,85.21,85.2,85.19,252.98,3164.56,3647.55,3219.21,3145.53,85.24,85.25,85.26,85.27,85.28,4706.59,3539.96,3335.13,3874.07,4790.44,-0.20240990473339782
1771368468559,2026-02-17 22:47:48.559000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,85.11,341.01,357.63,268.85,154.42,619.1,619.2,619.3,619.4,619.5,24.92,329.04,303.35,289.05,283.45,-0.009352314277155235
1771368468559,2026-02-17 22:47:48.559000,XRPUSDT,1.478,1.4779,1.4778,1.4777,1.4776,20619.4,40955.2,67940.5,40775.4,21886.8,1.4781,1.4782,1.4783,1.4784,1.4785,11969.2,2293.9,23878.8,68435.0,50647.3,0.10003706337837696
1771368469577,2026-02-17 22:47:49.577000,BTCUSDT,67589.9,67589.8,67589.7,67588.3,67587.3,0.233,0.009,0.019,0.03,0.001,67590.0,67590.9,67591.6,67591.7,67592.7,3.469,0.041,0.009,0.157,0.009,-0.8531556449585115
1771368469577,2026-02-17 22:47:49.577000,ETHUSDT,1999.5,1999.4,1999.3,1999.2,1999.1,108.287,104.075,139.303,117.147,169.532,1999.6,1999.7,1999.8,1999.9,2000.0,0.997,0.191,58.12,145.3,104.804,0.3470640122563191
